date,steps
2021-05-07,339
2021-05-08,1138
2021-05-09,1699
2021-05-10,1080
2021-05-11,1316
2021-05-12,3606
2021-05-13,786
2021-05-14,438
2021-05-15,1094
2021-05-16,1123
2021-05-17,481
2021-05-18,807
2021-05-19,639
2021-05-20,567
2021-05-21,264
2021-05-22,6125
2021-05-23,2595
2021-05-24,1642
2021-05-25,3305
2021-05-26,609
2021-05-27,1857
2021-05-28,620
2021-05-29,628
2021-05-30,536
2021-05-31,3729
2021-06-01,4978
2021-06-02,5480
2021-06-03,690
2021-06-04,6248
2021-06-05,886
2021-06-06,2092
2021-06-07,5096
2021-06-08,350
2021-06-09,1255
2021-06-10,506
2021-06-11,2890
2021-06-12,7408
2021-06-13,6501
2021-06-14,403
2021-06-15,908
2021-06-16,7269
2021-06-17,535
2021-06-18,370
2021-06-19,818
2021-06-20,770
2021-06-21,1773
2021-06-22,1871
2021-06-23,895
2021-06-24,896
2021-06-25,2388
2021-06-26,3214
2021-06-27,1622
2021-06-28,3214
2021-06-29,2370
2021-06-30,2100
2021-07-01,3492
2021-07-02,152
2021-07-03,5669
2021-07-04,438
2021-07-05,732
2021-07-06,177
2021-07-07,1487
2021-07-08,2887
2021-07-09,8009
2021-07-10,2290
2021-07-11,6153
2021-07-12,223
2021-07-13,2294
2021-07-14,1912
2021-07-15,2908
2021-07-16,4033
2021-07-17,6199
2021-07-18,3167
2021-07-19,500
2021-07-20,1954
2021-07-21,4252
2021-07-22,451
2021-07-23,1639
2021-07-24,4459
2021-07-25,4384
2021-07-26,5105
2021-07-27,3680
2021-07-28,3302
2021-07-29,2324
2021-07-30,1186
2021-07-31,1977
2021-08-01,3594
2021-08-02,2591
2021-08-03,1887
2021-08-04,2219
2021-08-05,5242
2021-08-06,4771
2021-08-07,946
2021-08-08,2587
2021-08-09,4923
2021-08-10,1027
2021-08-11,241
2021-08-12,1047
2021-08-13,1669
2021-08-14,3172
2021-08-15,5654
2021-08-16,1511
2021-08-17,408
2021-08-18,2216
2021-08-19,877
2021-08-20,3267
2021-08-21,3012
2021-08-22,559
2021-08-23,1987
2021-08-24,6063
2021-08-25,390
2021-08-26,564
2021-08-27,729
2021-08-28,3078
2021-08-29,885
2021-08-30,2622
2021-08-31,5334
2021-09-01,706
2021-09-02,1218
2021-09-03,1534
2021-09-04,1479
2021-09-05,3634
2021-09-06,3085
2021-09-07,6521
2021-09-08,7205
2021-09-09,680
2021-09-10,409
2021-09-11,2445
2021-09-12,2229
2021-09-13,857
2021-09-14,5255
2021-09-15,1357
2021-09-16,1870
2021-09-17,1932
2021-09-18,1054
2021-09-19,3885
2021-09-20,1577
2021-09-21,675
2021-09-22,365
2021-09-23,5817
2021-09-24,2379
2021-09-25,1886
2021-09-26,1051
2021-09-27,7012
2021-09-28,4181
2021-09-29,4261
2021-09-30,3643
2021-10-01,4124
2021-10-02,1198
2021-10-03,5684
2021-10-04,4234
2021-10-05,867
2021-10-06,4229
2021-10-07,2260
2021-10-08,1076
2021-10-09,4345
2021-10-10,1079
2021-10-11,3340
2021-10-12,689
2021-10-13,2716
2021-10-14,14900
2021-10-15,8972
2021-10-16,17220
2021-10-17,8121
2021-10-18,3271
2021-10-19,2941
2021-10-20,3628
2021-10-21,715
2021-10-22,3380
2021-10-23,3685
2021-10-24,768
2021-10-25,4259
2021-10-26,1249
2021-10-27,1718
2021-10-28,679
2021-10-29,1042
2021-10-30,1231
2021-10-31,1487
2021-11-01,2939
2021-11-02,4663
2021-11-03,6748
2021-11-04,6942
2021-11-05,2140
2021-11-06,1306
2021-11-07,12254
2021-11-08,2740
2021-11-09,8509
2021-11-10,5641
2021-11-11,6312
2021-11-12,17717
2021-11-13,13586
2021-11-14,2127
2021-11-15,6762
2021-11-16,1171
2021-11-17,10155
2021-11-18,5608
2021-11-19,1680
2021-11-20,6520
2021-11-21,7319
2021-11-22,12655
2021-11-23,491
2021-11-24,2909
2021-11-25,3144
2021-11-26,1599
2021-11-27,3209
2021-11-28,4629
2021-11-29,5403
2021-11-30,1682
2021-12-01,7039
2021-12-02,826
2021-12-03,208
2021-12-04,262
2021-12-05,195
2021-12-06,467
2021-12-07,224
2021-12-08,104
2021-12-09,98
2021-12-10,145
2021-12-11,113
2021-12-12,195
2021-12-13,596
2021-12-14,461
2021-12-15,285
2021-12-16,84
2021-12-17,186
2021-12-18,158
2021-12-19,853
2021-12-20,183
2021-12-21,605
2021-12-22,280
2021-12-23,206
2021-12-24,796
2021-12-25,1203
2021-12-26,719
2021-12-27,1300
2021-12-28,802
2021-12-29,704
2021-12-30,392
2021-12-31,647
2022-01-01,1209
2022-01-02,1183
2022-01-03,491
2022-01-04,724
2022-01-05,1122
2022-01-06,1317
2022-01-07,655
2022-01-08,1042
2022-01-09,366
2022-01-10,1004
2022-01-11,1925
